cand_id,district,name,incumbent_status,party,camp_fb,gov_fb,camp_twitter,gov_twitter,website
0344,SD-1,Paula Hawks,N,Democrat,hawksforushouse,n/a,hawksforhouse,n/a,http://www.hawksforhouse.com
0345,TX-1,Shirley McKellar,N,Democrat,ShirleyJMckellar,n/a,Vote4McKellar,n/a,http://www.votemckellar.com
0346,TX-1,Phil Gray,N,Libertarian,www.PhilGray4Congress,n/a,?,n/a,?
0347,TX-2,Pat Bryan,N,Democrat,PatBryanTX2,n/a,?,n/a,http://PatBryanTX2.com
0348,TX-2,Christopher Hill,N,Libertarian,?,n/a,?,n/a,?
0349,TX-2,Joshua Darr,N,Green,'1513988002233899',n/a,?,n/a,?
0350,TX-3,Adam Bell,N,Democrat,adambell4congress,n/a,voteadambell,n/a,http://www.voteadambell.com
0351,TX-3,Scott Jameson,N,Libertarian,?,n/a,?,n/a,?
0352,TX-3,Paul Blair,N,Green,?,n/a,?,n/a,?
0353,TX-3,Billy Wayne Engle Jr.,N,Write-In,?,n/a,?,n/a,?
0354,TX-4,Cody Wommack,N,Libertarian,?,n/a,?,n/a,?
0355,TX-5,Ken Ashby,N,Libertarian,?,n/a,?,n/a,?
0356,TX-6,Ruby Fay Woolridge,N,Democrat,voteforruby.org,n/a,rfwoolridge,n/a,http://voteforruby.org
0357,TX-6,Darrel Smith Jr.,N,Green,darrelsmithjr,n/a,?,n/a,http://www.darrelsmithjr.com
0358,TX-7,James Cargas,N,Democrat,Cargas7,n/a,Cargas7,n/a,http://www.JamesCargas.com
0359,TX-9,Jeff Martin,N,Republican,?,n/a,?,n/a,?
0360,TX-9,George Reiter,N,Green,?,n/a,?,n/a,?
0361,TX-10,Tawana Cadien,N,Democrat,tawanacadienforcongress,n/a,Cadien4Congress,n/a,http://www.tawanacadienforcongress.com/
0362,TX-10,Bill Kelsey,N,Libertarian,?,n/a,?,n/a,http://kelseyforcongress.com/
0363,TX-11,Nicholas Landholt,N,Libertarian,?,n/a,Landholt2016,n/a,?
0364,TX-12,Bill Bradshaw,N,Democrat,?,n/a,?,n/a,?
0365,TX-12,Ed Colliver,N,Libertarian,EdColliverforCongress,n/a,EdforUSRep,n/a,http://www.edcolliver.com
0366,TX-13,Calvin DeWeese,N,Libertarian,?,n/a,?,n/a,?
0367,TX-13,Rusty Tomlinson,N,Green,'792212577573408',n/a,?,n/a,?
0368,TX-14,Michael Cole,N,Democrat,MichaelColeforCongress,n/a,cole4texas,n/a,http://www.mikecole.us
0369,TX-15,Vicente Gonzalez,N,Democrat,votevicente,n/a,votevicente,n/a,http://www.vicentegonzalez.com/
0370,TX-15,Tim Westley,N,Republican,'466352813568654',n/a,DaPastor,n/a,http://www.westley2016.com
0371,TX-15,Ross Lynn Leone,N,Libertarian,vote.for.leone,n/a,?,n/a,?
0372,TX-15,Vanessa Tijerina,N,Green,votetijerina2016,n/a,tijerina2016,n/a,http://www.votetijerina2016.com
0373,TX-16,Mary Gourdoux,N,Green,Mary4Congress,n/a,gourdoux_mary,n/a,?
0374,TX-16,Jaime Perez,N,Libertarian,?,n/a,?,n/a,?
0375,TX-17,William Matta,N,Democrat,billmattaforcongress,n/a,billmatta,n/a,http://www.billmatta.com/
0376,TX-17,Clark Peterson,N,Libertarian,?,n/a,?,n/a,?
0377,TX-18,Lori Bartley,N,Republican,bartley4congress,n/a,LoriBartleyTX18,n/a,http://www.bartleyforcongress.com
0378,TX-18,Thomas Kleven,N,Green,kleven2016,n/a,?,n/a,?
0379,TX-19,Jodey Arrington,N,Republican,JodeyArrington,n/a,JodeyArrington,n/a,http://www.jodeyarrington.com
0380,TX-19,Troy Bonar,N,Libertarian,VoteTroyBonar,n/a,troybonar,n/a,http://VoteTroyBonar.com
0381,TX-19,Mark Lawson,N,Green,?,n/a,?,n/a,?
0382,TX-20,Paul Pipkin,N,Green,?,n/a,?,n/a,?
0383,TX-20,Jeffrey Blunt,N,Libertarian,'1140215586029627',n/a,?,n/a,?
0384,TX-21,Thomas Wakely,N,Democrat,TomWakely2016,n/a,wakely2016,n/a,http://www.wakely2016.com/
0385,TX-21,Mark Loewe,N,Libertarian,?,n/a,?,n/a,?
0386,TX-21,Antonio Diaz,N,Green,'337285616363753',n/a,?,n/a,?
0387,TX-22,Mark Gibson,N,Democrat,MarkGibsonForCongress,n/a,markgibsontx22,n/a,http://www.markgibsonforcongress.com
0388,TX-23,Pete Gallego,N,Democrat,PeteGallegoforCongress,n/a,petegallego,n/a,http://www.petegallego.com
0389,TX-23,Ruben Corvalan,N,Libertarian,rubenforcongress,n/a,RubenCorvalanTX,n/a,http://www.rubenforcongress.org
0390,TX-24,Jan McDowell,N,Democrat,JanMcDowellDemocrat,n/a,JanForCongress,n/a,http://www.JanMcDowell.com
0391,TX-24,Kevin McCormick,N,Green,KevinMcCormick2016,n/a,KMcCormick2016,n/a,http://www.kevinmccormick2016.com
0392,TX-24,Mike Kolls,N,Libertarian,tellwashington,n/a,?,n/a,http://tellwashington.us
0393,TX-25,Kathi Thomas,N,Democrat,KathiForCongress,n/a,Kathi4Congress,n/a,http://www.kathiforcongress.com/
0394,TX-25,Loren Marc Schneiderman,N,Libertarian,'191308604597637',n/a,?,n/a,http://www.lorenfortexas25th.com
0395,TX-26,Eric Mauck,N,Democrat,mauck2016,n/a,mauck2016,n/a,http://www.mauck2016.com
0396,TX-26,Mark Boler,N,Libertarian,?,n/a,markboler,n/a,http://bolerforcongress.org/
0397,TX-27,Raul Roy Barrera,N,Democrat,raulroybarreraforcongress,n/a,RaulRoyBarrera,n/a,http://www.electraulroybarrera.com/
0398,TX-28,Zeffen Hardin,N,Republican,'985884821467915',n/a,ZeffenTX28,n/a,http://Texansforzeffen.com
0399,TX-28,Michael Cary,N,Green,?,n/a,?,n/a,?
0400,TX-29,Julio Garza,N,Republican,?,n/a,?,n/a,?
0401,TX-29,N. Ruben Perez,N,Libertarian,?,n/a,?,n/a,http://www.voteperez.info/
0402,TX-29,James Partsch-Galvan,N,Green,?,n/a,?,n/a,http://www.mayorgalvan.com/
0403,TX-30,Charles Lingerfelt,N,Republican,'141619276471',n/a,ClingerUSA,n/a,http://CharlesLingerfelt.com
0404,TX-30,Jarret Woods,N,Libertarian,?,n/a,?,n/a,http://www.jarrettwoods.com/
0405,TX-30,Thom Prentice,N,Green,ThomPrentice4CongressGREEN2016,n/a,?,n/a,?
0406,TX-31,Mike Clark,N,Democrat,clarkforcongress,n/a,mcforcongress,n/a,http://www.votemikeclark.com
0407,TX-31,Scott Ballard,N,Libertarian,?,n/a,?,n/a,?
0408,TX-32,Ed Rankin,N,Libertarian,rankinforcongress,n/a,EdwinRankin,n/a,http://edrankinforcongress.com
0409,TX-32,Gary Stuard,N,Green,ElectGaryStuard,n/a,GaryStuard,n/a,http://stuard2016.com
0410,TX-33,M. Mark Mitchell,N,Republican,?,n/a,?,n/a,http://www.mmarkmitchell.com/
0411,TX-33,Roy Carl Stanley,N,Green,letlogicwin,n/a,roycarlstanley,n/a,https://roycarlstanley.wordpress.com/
0412,TX-34,Rey Gonzalez Jr.,N,Republican,reyforcongress,n/a,?,n/a,http://www.reygonzalez.org
0413,TX-35,Susan Narvaiz,N,Republican,SusanNarvaizTX,n/a,susannarvaiz,n/a,www.susanforcongress.com
0414,TX-35,Rhett Rosenquest Smith,N,Libertarian,?,n/a,RhettSmith2012,n/a,?
0415,TX-35,Scott Trimble,N,Green,Trimblefor35,n/a,?,n/a,?
0416,TX-36,Hal Ridley Jr.,N,Green,?,n/a,?,n/a,?
0417,UT-1,Peter Clemens,N,Democrat,drpeterclemensforcongress,n/a,doclemens,n/a,http://www.clemensforcongress.com/
0418,UT-1,Craig Bowden,N,Libertarian,craig.r.bowden,n/a,CraigBowden2020,n/a,http://Craig4Congress.org
0419,UT-1,Chadwick Fairbanks III,N,Independent,?,n/a,Chadwick4Utah,n/a,?
0420,UT-2,Charlene Albarran,N,Democrat,charleneforutah,n/a,CharleneAlbarr,n/a,http://www.charlenealbarran.com
0421,UT-2,Paul McCollaum Jr.,N,Constitution,mccollaumforcongress,n/a,?,n/a,http://www.mccollaumforcongress.us/
0422,UT-3,Stephen Tryon,N,Democrat,StephenPTryonforCongress,n/a,Tryon4Congress,n/a,http://www.tryonforcongress.com
0423,UT-4,Doug Owens,N,Democrat,votedougowens,n/a,VoteDougOwens,n/a,http://votedougowens.com
0424,UT-4,Collin Simonsen,N,Constitution,?,n/a,Collin4Congress,n/a,http://collinsimonsen.weebly.com/
0425,VA-1,Matt Rowe,N,Democrat,MattRoweForCongress,n/a,Rowe4Congress,n/a,http://www.MattRowe.org
0426,VA-2,Scott Taylor,N,Republican,scotttaylorvirginia,n/a,Scotttaylorva,n/a,http://www.scotttaylor.us
0427,VA-2,Shaun Brown,N,Democrat,shaunbrownva,n/a,shaunbrownva,n/a,http://shaunbrownforcongress.org
0428,VA-3,Marty Williams,N,Republican,MartyWilliamsforCongress,n/a,MartyCongressVa,n/a,http://martywilliamscongress.com/
0429,VA-4,Donald McEachin,N,Democrat,'299511650083944',n/a,Donald_McEachin,n/a,https://mceachinforcongress.com/
0430,VA-4,Mike Wade,N,Republican,MikeWadeVA,n/a,MikeWadeVA4,n/a,http://mikewadeforcongress.com/
0431,VA-5,Tom Garrett,N,Republican,TomGarrettForCongress,n/a,GarrettforVA,n/a,http://www.TomGarrettForCongress.com
0432,VA-5,Jane Dittmar,N,Democrat,janeforcongress,n/a,JaneDittmar2016,n/a,http://janeforcongress.com
0433,VA-5,Stephen Harmon,N,Libertarian,?,n/a,?,n/a,http://stephencharmon.com/
0434,VA-5,Yale Landsberg,N,Independent,?,n/a,?,n/a,http://yale4congress.com/
0435,VA-6,Kai Degner,N,Democrat,votekaidegner,n/a,kaidegner,n/a,http://www.KaiForCongress.com
0436,VA-7,Eileen Bedell,N,Democrat,'1099883673395419',n/a,BedellforVA,n/a,http://www.bedellforvirginia.com/
0437,VA-8,Charles Hernick,N,Republican,CharlesHernickForCongress,n/a,charleshernick,n/a,http://www.charleshernick.com/
0438,VA-8,Mike Webb,N,Independent,2016MikeWebbVA8,n/a,2016MikeWebbVA8,n/a,http://www.MyTrueConservative.com
0439,VA-9,Derek Kitts,N,Democrat,DerekKittsForCongress,n/a,derekkitts,n/a,http://www.kittsforcongress.com
0440,VA-10,LuAnn Bennett,N,Democrat,luannforcongress,n/a,LuAnnBennett,n/a,http://www.luannforcongress.com
0441,VA-10,J.D. Thorpe,N,Libertarian,Thorpe4Congress,n/a,?,n/a,https://jdthorpeforcongresscom.wordpress.com/
0442,VA-11,John Wolfe,N,Republican,?,n/a,?,n/a,?
0443,VA-11,Dan Mittereder,N,Libertarian,?,n/a,?,n/a,?
0444,WV-1,Mike Manypenny,N,Democrat,mikemanypenny1,n/a,manypenny2016,n/a,http://mikemanypennyforcongress.com
0445,WV-2,Mark Hunt,N,Democrat,'482298621931254',n/a,MarkHunt2016,n/a,http://www.markhuntforcongress.com
0446,WV-3,Matt Detch,N,Democrat,MattDetch,n/a,Detch2016,n/a,http://www.detch2016.com
0447,KS-1,Roger Marshall,N,Republican,DrRogerMarshall,n/a,RogerMarshallMD,n/a,http://www.kansansformarshall.com
0448,KS-1,Kerry Burt,N,Libertarian,kb4hr,n/a,?,n/a,?
0449,KS-1,Alan LaPolice,N,Independent,alanlapolice,n/a,AlanLaPolice,n/a,http://www.alanlapolice.com
0450,KS-2,Britani Potter,N,Democrat,potterforthepeople,n/a,bpotter4USHouse,n/a,http://www.bpotterforcongress.com/
0451,KS-2,James Houston Bales,N,Libertarian,BalesForCongress,n/a,libertybales,n/a,http://balesforcongress.com
0452,KS-3,Jay Sidie,N,Democrat,jaysidieforcongress,n/a,Jay4Congress,n/a,http://www.jay4congress.com/
0453,KS-3,Steve Hohe,N,Libertarian,stevehoheforcongresskansas,n/a,stevehoheks,n/a,http://www.stevehoheforcongress.com
0454,KS-4,Daniel Giroux,N,Democrat,GirouxForKansas,n/a,Dan4KS,n/a,http://www.danforkansas.com
0455,KS-4,Gordon Bakken,N,Libertarian,?,n/a,?,n/a,?
0456,KS-4,Miranda Allen,N,Independent,allenforkansas,n/a,Allen4Kansas,n/a,http://www.allenforkansas.com
0457,MI-1,Jack Bergman,N,Republican,bergmanforcongress,n/a,JackBergman_MI1,n/a,http://bergmanforcongress.com
0458,MI-1,Lon Johnson,N,Democrat,LonBJohnson,n/a,LonBJohnson,n/a,http://www.lonjohnson.com
0459,MI-1,Diane Bostow,N,Libertarian,electdianebostow,n/a,?,n/a,http://dianebostowforcongress.com/
0460,MI-2,Dennis Murphy,N,Democrat,'436327029899007',n/a,DMurphyCongress,n/a,http://dennismurphyforcongress.com/
0461,MI-2,Erwin Haas,N,Libertarian,?,n/a,?,n/a,http://www.erwinhaaslibertarian.com/
0462,MI-3,Douglas Smith,N,Democrat,smithformichigan,n/a,Doug_4Congress,n/a,http://www.smithformichigan.com
0463,MI-4,Leonard Schwartz,N,Libertarian,?,n/a,?,n/a,http://www.leonardschwartz.us/
0464,MI-5,Allen Hardwick,N,Republican,hardwickforcongress,n/a,RealTruePatriot,n/a,http://allenhardwick.com
0465,MI-5,Steve Sluka,N,Libertarian,?,n/a,?,n/a,?
0466,MI-6,Paul Clements,N,Democrat,ClementsForCongress,n/a,Clem4Congress,n/a,http://clementsforcongress.com/
0467,MI-6,Lorence Wenke,N,Libertarian,?,n/a,?,n/a,?
0468,MI-7,Gretchen Driskell,N,Democrat,votegretchen,n/a,gdriskell,n/a,http://www.votegretchen.com
0469,MI-7,Ken Proctor,N,Libertarian,?,n/a,?,n/a,?
0470,MI-8,Suzanna Shkreli,N,Democrat,SuzannaForMi,n/a,SuzannaForMI,n/a,http://suzannaforcongress.com/
0471,MI-8,Jeff Wood,N,Libertarian,jeffwood4office,n/a,JeffWood4Office,n/a,http://jeffwood4office.com
0472,MI-9,Christopher Morse,N,Republican,CMorse4Congress,n/a,CMorse4Congress,n/a,http://www.votemorse.com
0473,MI-9,Matthew Orlando,N,Libertarian,MattOrlandoforUSHouseofReps,n/a,?,n/a,http://mattorlando.us/
0474,MI-10,Paul Mitchell,N,Republican,PaulMitchellforUS,n/a,PaulMitchell4us,n/a,http://www.PaulMitchellforCongress.com
0475,MI-10,Frank Accavitti Jr.,N,Democrat,accavittiforcongress,n/a,FrankAccavitti,n/a,http://www.frankaccavitti.com
0476,MI-10,Lisa Lane Gioia,N,Libertarian,lisaforliberty,n/a,lisaforliberty,n/a,http://lisaforliberty.org
0477,MI-11,Anil Kumar,N,Democrat,kumarforuscongress,n/a,DrKumarMichigan,n/a,http://kumarforuscongress.com/
0478,MI-11,Jonathan Ray Osment,N,Libertarian,osment2016,n/a,JonathanROsment,n/a,http://osmentforcongress.com
0479,MI-12,Jeff Jones,N,Republican,JeffJones4Congress,n/a,VoteJeff_Jones,n/a,http://www.jeffjones4congress.com
0480,MI-12,Tom Bagwell,N,Libertarian,?,n/a,?,n/a,http://www.bagwell4liberty.com/
0481,MI-13,Jeff Gorman,N,Republican,?,n/a,?,n/a,http://www.jeffgormanforuscongress.com/
0482,MI-13,Tiffany Hayden,N,Libertarian,Hayden2016,n/a,haydentiff,n/a,http://www.tiffanyhayden.co/
0483,MI-14,Howard Klausner,N,Republican,KlausnerCongress,n/a,?,n/a,http://www.klausnerforcongress.com/
0484,MI-14,Gregory Creswell,N,Libertarian,?,n/a,4creswell,n/a,http://gregcreswell.com/
0485,MO-1,Steven Bailey,N,Republican,?,n/a,?,n/a,?
0486,MO-1,Robb Cunningham,N,Libertarian,RobbLibertarian,n/a,RobbLibertarian,n/a,http://www.lpmo.org
0487,MO-2,Bill Otto,N,Democrat,BillOttoForCongress,n/a,BillOtto1,n/a,billotto.org
0488,MO-2,Jim Higgins,N,Libertarian,?,n/a,?,n/a,http://www.jimhiggins4congress.com/
0489,MO-3,Kevin Miller,N,Democrat,?,n/a,?,n/a,http://kevinmillerforcongress.com/
0490,MO-3,Dan Hogan,N,Libertarian,hogan4congress2016,n/a,?,n/a,http://www.hogan4congress2016.org
0491,MO-3,Doanita Simmons,N,Constitution,'583140218521355',n/a,3rdCongress16,n/a,?
0492,MO-4,Gordon Christensen,N,Democrat,ChristensenForCongress,n/a,Christensen4MO,n/a,http://www.ChristensenForCongress.com
0493,MO-4,Mark Bliss,N,Libertarian,?,n/a,?,n/a,http://www.bliss4congress.com/
0494,MO-5,Jacob Turk,N,Republican,JacobTurkforCongress,n/a,JacobTurk,n/a,http://turkforcongress.com/
0495,MO-5,Roy Welborn,N,Libertarian,RoyWelbornForCongress,n/a,Justasien,n/a,?
0496,MO-6,David Blackwell,N,Democrat,blackwell4congress,n/a,?,n/a,?
0497,MO-6,Russ Monchil,N,Libertarian,?,n/a,RussMonchil,n/a,?
0498,MO-7,Genevieve Williams,N,Democrat,genforcongress,n/a,genforcongress,n/a,http://gen4congress.com
0499,MO-7,Benjamin Brixey,N,Libertarian,?,n/a,?,n/a,http://www.benbrixey.com/
0500,MO-8,Dave Cowell,N,Democrat,davecowellforcongress,n/a,davetocongress,n/a,http://www.davecowellforcongress.com
0501,MO-8,Jonathan Lee Shell,N,Libertarian,?,n/a,?,n/a,http://jonshellforcongress.my-free.website/
0502,WA-1,Robert Sutherland,N,Republican,SutherlandUSA,n/a,?,n/a,http://www.sutherlandusa.com
0503,WA-2,Marc Hennemann,N,Republican,Marc4Congress,n/a,?,n/a,http://www.marc4congress.com/
0504,WA-3,Jim Moeller,N,Democrat,ElectJimMoeller,n/a,Jimmoeller,n/a,jimmoeller.com
0505,WA-4,Clint Didier,N,Republican,?,n/a,?,n/a,?
0506,WA-5,Joe Pakootas,N,Democrat,'1487187071533900',n/a,JoePakootas,n/a,http://pakootasforcongress.com
0507,WA-6,Todd A. Bloom,N,Republican,ElectToddBloom,n/a,?,n/a,http://www.electtoddbloom.com
0508,WA-7,Pramila Jayapal,N,Democrat,pramila.jayapal,n/a,PramilaJayapal,n/a,http://pramilaforcongress.com
0509,WA-7,Uncalled,N,Democrat,?,n/a,?,n/a,?
0510,WA-8,Uncalled,N,Democrat,?,n/a,?,n/a,?
0511,WA-9,Doug Basler,N,Republican,electdougbasler,n/a,dougbasler,n/a,http://dougbasler.com
0512,WA-10,Jim Postma,N,Republican,?,n/a,JimPostma,n/a,http://www.postma.com
0513,TN-1,Alan Bohms,N,Democrat,?,n/a,AlanBohms,n/a,http://alan-bohms.ruck.us/
0514,TN-1,Robert Franklin,N,Independent,?,n/a,?,n/a,?
0515,TN-2,Stuart Starr,N,Democrat,?,n/a,?,n/a,http://www.starr4congress.com/
0516,TN-3,Melody Shekari,N,Democrat,melody.shekari,n/a,melodyshekari,n/a,http://melodyshekari.com
0517,TN-3,Topher Kersting,N,Independent,?,n/a,topher_k,n/a,http://topherforcongress.wordpress.com
0518,TN-3,Cassandra Mitchell,N,Independent,unlockingamerica,n/a,robocongress,n/a,?
0519,TN-3,Rick Tyler,N,Independent,?,n/a,USAWhiteAgain,n/a,http://ricktylerforcongress.com
0520,TN-4,Steven Reynolds,N,Democrat,Reynolds4Congress,n/a,Reynolds4Rep,n/a,http://www.reynolds2016.com
0521,TN-5,Stacy Ries Snyder,N,Republican,stacyforcongress,n/a,?,n/a,http://stacyforcongress.com
0522,TN-6,David Kent,N,Democrat,electkent,n/a,?,n/a,http://www.electkent.com
0523,TN-6,David Ross,N,Independent,DavidRoss4Congress,n/a,?,n/a,http://david-ross.ruck.us
0524,TN-7,Tharon Chandler,N,Democrat,?,n/a,?,n/a,?
0525,TN-7,Leonard Ladner,N,Independent,?,n/a,?,n/a,http://www.ladner4congress.com/
0526,TN-8,David Kustoff,N,Republican,KustoffForCongress,n/a,DavidKustoff,n/a,http://KustoffForCongress.com
0527,TN-8,Rickey Hobson,N,Democrat,?,n/a,hobsonrickey,n/a,http://www.hobsonforcongress.net/
0528,TN-8,Sheila Godwin,N,Independent,?,n/a,?,n/a,?
0529,TN-8,James Hart,N,Independent,?,n/a,?,n/a,?
0530,TN-8,Adrian Montague,N,Independent,?,n/a,?,n/a,?
0531,TN-8,Mark Rawles,N,Independent,?,n/a,?,n/a,?
0532,TN-8,Karen Free Spirit Talley-Lane,N,Independent,electkarenfreespirit,n/a,?,n/a,?
0533,TN-9,Wayne Alberson,N,Republican,?,n/a,?,n/a,?
0534,TN-9,Paul Cook,N,Independent,?,n/a,?,n/a,http://paulcook4liberty.com/
0535,IL-8,Pete DiCianni,N ,Republican,PeterDiCianni,n/a,petedicianni,n/a,http://peteforcongress.com
0536,OK-4,Sevier White,N ,Libertarian,?,n/a,?,n/a,?
